FUNCAO,STATUS,Dialect,6,7,8,9,10,11,12,13,14,15,16,17
MAKE_TIME,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_TIMESTAMP,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
MAKE_TIMESTAMPTZ,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
MAKEACLITEM,NOK,NOK,N,N,N,N,N,N,S,S,S,S,S,S
MASKLEN,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
MAX,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
MD5,OK,OK,N,N,S,N,N,S,S,S,S,S,S,S
MERGE_ACTION,NOK,NOK,N,N,N,N,N,N,N,N,N,N,N,S
MIN,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
MIN_SCALE,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
MOD,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
MODE,OK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
MULTIRANGE,NOK,NOK,N,N,N,N,N,N,N,N,S,S,S,S
MXID_AGE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
NETMASK,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
NETWORK,OK,OK,N,N,S,N,N,N,N,S,S,S,S,S
NEXTVAL,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
NORMALIZE,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
NOT ILIKE,NOK,NOK,S,S,S,S,S,S,S,S,S,S,S,S
NOT LIKE,NOK,NOK,S,S,S,S,S,S,S,S,S,S,S,S
NOW,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
NPOINTS,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
NTH_VALUE,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
NTILE,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
NULLIF,OK,OK,S,S,S,S,S,S,S,S,S,S,S,S
NUM_NONNULLS,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
NUM_NULLS,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
NUMNODE,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
NVL,OK,NOK,N,N,N,S,S,S,S,S,S,S,S,S
OBJ_DESCRIPTION,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
OCTET_LENGTH,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
OVERLAY,NOK,NOK,N,N,S,S,S,S,S,S,S,S,S,S
PARSE_IDENT,OK,OK,N,N,N,N,N,N,N,S,S,S,S,S
PATH,OK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PCLOSE,NOK,NOK,N,N,S,N,N,N,N,S,S,S,S,S
PERCENT_RANK,OK,OK,N,N,N,S,S,S,S,S,S,S,S,S
PERCENTILE_CONT,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PERCENTILE_DISC,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PHRASETO_TSQUERY,NOK,NOK,N,N,N,N,N,N,N,S,S,S,S,S
PI,OK,OK,N,N,S,S,S,S,S,S,S,S,S,S
