FUNCAO,STATUS,30,40,55,56,57,80,84
UUID_TO_BIN,NOK,N,N,N,N,N,S,N
VALIDATE_PASSWORD_STRENGTH,NOK,N,N,N,S,S,S,S
VALUES,OK,S,S,S,S,S,S,N
VAR_POP,NOK,S,S,S,S,S,S,S
VAR_SAMP,NOK,S,S,S,S,S,S,N
VARIANCE,NOK,S,S,S,S,S,S,S
VERSION,OK,S,S,S,S,S,S,N
WAIT_FOR_EXECUTED_GTID_SET,NOK,N,N,N,S,S,S,S
WAIT_UNTIL_SQL_THREAD_AFTER_GTIDS,NOK,N,N,N,S,S,S,N
WEEK,NOK,S,S,S,S,S,S,N
WEEKDAY,NOK,S,S,S,S,S,S,S
WEEKOFYEAR,NOK,S,S,S,S,S,S,N
WEIGHT_STRING,NOK,N,N,N,S,S,S,S
WITHIN,OK,N,N,N,S,S,N,N
YEAR,OK,S,S,S,S,S,S,S
YEARWEEK,NOK,S,S,S,S,S,S,N
